STATION_ID,USAF,WBAN,STATION_NAME,CTRY,STATE,LATITUDE,LONGITUDE,ELEVATION_M,BEGIN_DATE,END_DATE
43311099999,433110,99999,M.O. AMINI,IN,,11.117,72.733,3.0,19730101,20250824
43331099999,433310,99999,M.O. PONDICHERRY,IN,,11.967,79.817,38.0,20090204,20250824
43185099999,431850,99999,MACHILIPATNAM/FRANCHPET,IN,,16.2,81.15,3.0,19540101,20250824
43359099999,433590,99999,MADURAI,IN,,9.917,78.117,133.0,19730101,20250824
43360099999,433600,99999,MADURAI,IN,,9.835,78.093,139.9,19440101,20250824
43111099999,431110,99999,MAHABALESHWAR,IN,,17.933,73.667,1382.0,19440101,20250824
43168099999,431680,99999,MAHABUBNAGAR,IN,,16.75,78.0,505.0,20090205,20250824
42837099999,428370,99999,MAHUVA,IN,,21.083,71.783,9.0,20010711,20250824
42413099999,424130,99999,MAJBAT,IN,,26.75,92.35,120.0,20011009,20250824
42715099999,427150,99999,MALANJKHAND,IN,,22.0,80.7,581.0,20011121,20250824
42503099999,425030,99999,MALDA,IN,,25.033,88.133,31.0,19730101,20250824
42925099999,429250,99999,MALEGAON,IN,,20.55,74.533,437.0,19440101,20250824
42872099999,428720,99999,MANA,IN,,21.233,81.65,313.0,20151207,20250824
42065099999,420650,99999,MANALI,IN,,32.267,77.167,2039.0,19990223,20250824
42078099999,420780,99999,MANDI,IN,,31.717,76.967,761.0,19590602,20250824
42776099999,427760,99999,MANDLA,IN,,22.583,80.367,443.0,20070520,20250824
43284099999,432840,99999,MANGALORE,IN,,12.961,74.89,102.7,19730101,20250824
43060099999,430600,99999,MATHERAN,IN,,18.983,73.283,695.0,20170604,20250824
43309099999,433090,99999,MAYA BANDAR,IN,,12.917,92.917,28.0,19730101,20250824
43083099999,430830,99999,MEDAK,IN,,18.05,78.267,472.0,19870905,20250824
42139099999,421390,99999,MEERUT,IN,,29.017,77.717,222.0,19440603,20250824
42803099999,428030,99999,MIDNAPORE,IN,,22.417,87.317,45.0,19730101,20250824
43369099999,433690,99999,MINICOY,IN,,8.3,73.15,2.0,19440101,20250824
42383099999,423830,99999,MOTIHARI,IN,,26.667,84.917,66.0,19440101,20250824
42147099999,421470,99999,MUKTESHWAR KUMAON,IN,,29.467,79.65,2311.0,19440101,20250824
42387099999,423870,99999,MUZAFFARPUR,IN,,26.117,85.4,53.0,19740515,20250824
43291099999,432910,99999,MYSORE,IN,,12.3,76.7,767.0,19440101,20250824
43347099999,433470,99999,NAGAPPATTINAM,IN,,10.767,79.85,9.0,19440101,20250824
42104099999,421040,99999,NAHAN,IN,,30.4,76.767,958.0,19881016,20250824
42143099999,421430,99999,NAJIBABAD,IN,,29.617,78.383,270.0,19730101,20250824
43133099999,431330,99999,NALGONDA,IN,,17.0,79.25,227.0,19771019,20250824
42631099999,426310,99999,NALIYA,IN,,23.25,68.85,21.0,19730101,20250824
43382099999,433820,99999,NANCOWRY,IN,,7.983,93.533,26.0,19730101,20250824
43021099999,430210,99999,NANDED,IN,,19.083,77.333,358.0,20151207,20250824
43182099999,431820,99999,NANDIGAMA,IN,,16.783,80.283,51.0,20090205,20250824
42846099999,428460,99999,NANDURBAR,IN,,21.333,74.25,206.0,20160321,20250824
43212099999,432120,99999,NANDYAL,IN,,15.467,78.483,212.0,20010825,20250824
43187099999,431870,99999,NARSAPUR,IN,,16.433,81.7,4.0,20040528,20250824
42770099999,427700,99999,NARSINGHPUR,IN,,22.95,79.183,356.0,20010709,20250824
42921099999,429210,99999,NASIK CITY,IN,,19.967,73.817,598.0,20060202,20250824
43245099999,432450,99999,NELLORE,IN,,14.45,79.983,20.0,19440101,20250824
42809099999,428090,99999,NETAJI SUBHASH CHANDRA BOSE INTL,IN,,22.655,88.447,4.9,19430831,20250824
42639099999,426390,99999,NEW KANDLA,IN,,23.0,70.217,14.0,20090205,20250824
43081099999,430810,99999,NIZAMABAD,IN,,18.667,78.1,381.0,19440101,20250824
42467099999,424670,99999,NOWGONG,IN,,25.067,79.45,229.0,19440101,20250824
43278099999,432780,99999,NUMGAMBAKKAM,IN,,13.067,80.2,7.0,19870110,20250824
42730099999,427300,99999,OKHA,IN,,22.483,69.117,7.0,20011014,20250824
43221099999,432210,99999,ONGOLE,IN,,15.5,80.083,12.0,19730101,20250824
42468099999,424680,99999,ORAI,IN,,25.983,79.5,141.0,20040508,20250824
42920099999,429200,99999,OZAR AIR FORCE STATION /NASHIK ARPT,IN,,20.119,73.914,598.0,19890430,20250824
42767099999,427670,99999,PACHMARHI,IN,,22.467,78.433,1075.0,19440101,20250824
43335099999,433350,99999,PALAKKAD,IN,,10.767,76.65,97.0,19440101,20250824
43363099999,433630,99999,PAMBAN,IN,,9.283,79.217,11.0,19440101,20250824
42148099999,421480,99999,PANTNAGAR,IN,,29.033,79.467,233.0,20070520,20250824
42976099999,429760,99999,PARADIP (C.W.R.),IN,,20.3,86.683,8.0,20020521,20250824
43207099999,432070,99999,PARANGIPETTAI,IN,,11.5,79.767,3.0,20151207,20250824
43017099999,430170,99999,PARBHANI,IN,,19.133,76.833,422.0,19440101,20250824
42220099999,422200,99999,PASIGHAT,IN,,28.1,95.383,157.0,19740403,20250824
42101099999,421010,99999,PATIALA,IN,,30.333,76.467,251.0,19730101,20250824
43237099999,432370,99999,PBO ANANTAPUR,IN,,14.583,77.633,364.0,19540101,20250824
42779099999,427790,99999,PENDRA ROAD,IN,,22.767,81.9,625.0,19440101,20250824
43356099999,433560,99999,PERIAKULAM,IN,,10.0,77.133,300.0,20151207,20250824
42174099999,421740,99999,PILANI,IN,,28.333,75.583,301.0,20020630,20250824
42830099999,428300,99999,PORBANDAR,IN,,21.65,69.667,5.0,19730101,20250824
43333099999,433330,99999,PORT BLAIR,IN,,11.667,92.717,79.0,19451101,20250824
43354099999,433540,99999,PUNALUR,IN,,9.0,76.917,34.0,20020827,20250824
43063099999,430630,99999,PUNE,IN,,18.533,73.85,558.0,19440101,20250824
43053099999,430530,99999,PURI,IN,,19.8,85.817,6.0,19730101,20250824
42500099999,425000,99999,PURNEA,IN,,25.267,87.467,38.0,19440101,20250824
42705099999,427050,99999,PURULIA,IN,,23.333,86.417,255.0,19440325,20250824
42044099999,420440,99999,QAZI GUND,IN,,33.583,75.083,1690.0,20090205,20250824
